,Closest putative archaic source pop,Modern populations showing evidence of introgression or association,ref,notes,Statistic used,Evidence for positive selection or enrichment and selection tests performed
SNP linked to phenotype,,,,,,
"rs12531711, systemic lupus erthematosus, primary biliary cirrhosis",Neanderthal,,Sankararaman 2014,"see methods sections ""Functional analysis of introgressed alleles."" and ""Functional enrichment analysis.""",Neanderthal alleles overlapped with NHGRI GWAS catalogue and Sigma Diabetes Type 2 study,"Neanderthal alleles with >= 90% marginal probability in conditional random field test, intersected with GWAS alleles in NHGRI GWAS catalogue and Sigma Diabetes Type 2 Consortium 2014 GWAS paper"
"rs3025343, smoking behavior",Neanderthal,,Sankararaman 2014,"see methods sections ""Functional analysis of introgressed alleles."" and ""Functional enrichment analysis.""",Neanderthal alleles overlapped with NHGRI GWAS catalogue and Sigma Diabetes Type 2 study,"no selection test, only overlap of alleles from Neanderthal gene flow and GWAS (allele frequency for Europeans and East Asians given in extended data table 2)"
"rs7076156, rs11175593, Crohn's disease",Neanderthal,,Sankararaman 2014,"see methods sections ""Functional analysis of introgressed alleles."" and ""Functional enrichment analysis.""",Neanderthal alleles overlapped with NHGRI GWAS catalogue and Sigma Diabetes Type 2 study,"no selection test, only overlap of alleles from Neanderthal gene flow and GWAS (allele frequency for Europeans and East Asians given in extended data table 2)"
"rs12571093, optic disc size",Neanderthal,,Sankararaman 2014,"see methods sections ""Functional analysis of introgressed alleles."" and ""Functional enrichment analysis.""",Neanderthal alleles overlapped with NHGRI GWAS catalogue and Sigma Diabetes Type 2 study,"no selection test, only overlap of alleles from Neanderthal gene flow and GWAS (allele frequency for Europeans and East Asians given in extended data table 2)"
"rs1834481, interleukin-18 levels",Neanderthal,,Sankararaman 2014,"see methods sections ""Functional analysis of introgressed alleles."" and ""Functional enrichment analysis.""",Neanderthal alleles overlapped with NHGRI GWAS catalogue and Sigma Diabetes Type 2 study,"no selection test, only overlap of alleles from Neanderthal gene flow and GWAS (allele frequency for Europeans and East Asians given in extended data table 2)"
"rs75493593, rs75418188, rs117767867, type-2 diabetes",Neanderthal,,Sankararaman 2014,"see methods sections ""Functional analysis of introgressed alleles."" and ""Functional enrichment analysis.""",Neanderthal alleles overlapped with NHGRI GWAS catalogue and Sigma Diabetes Type 2 study,"no selection test, only overlap of alleles from Neanderthal gene flow and GWAS (allele frequency for Europeans and East Asians given in extended data table 2)"
"SELP, rs3917862, hypercoagulable state",Neanderthal,European,Simonti 2016,,Bonferroni test for significant Neanderthal mutation-phenotype association,locus-wise Bonferroni significant Neandertal SNP–phenotype associations replicated (with a fixedeffectP< 0.05 and consistent direction of effect).
"SLC35F3, rs12049593, protein-calorie malnutrition",Neanderthal,European,Simonti 2016,,Bonferroni test for significant Neanderthal mutation-phenotype association,locus-wise Bonferroni significant Neandertal SNP–phenotype associations replicated (with a fixedeffectP< 0.05 and consistent direction of effect).
"RHOG, STIM1, rs11030043, symptoms involving urinary system",Neanderthal,European,Simonti 2016,,Bonferroni test for significant Neanderthal mutation-phenotype association,locus-wise Bonferroni significant Neandertal SNP–phenotype associations replicated (with a fixedeffectP< 0.05 and consistent direction of effect).
"SLC6A11, rs901033, tobacco use disorder",Neanderthal,European,Simonti 2016,,Bonferroni test for significant Neanderthal mutation-phenotype association,locus-wise Bonferroni significant Neandertal SNP–phenotype associations replicated (with a fixedeffectP< 0.05 and consistent direction of effect).
